Período,Hospital,Região_x,Consumo,Sobra,Região_y,nr consultas,Região,Urgências Geral,Urgências Pediátricas,Urgência Obstetricia,Urgência Psiquiátrica,Total Urgências
2015-01,Hospital Arcebispo Joao Crisóstomo - Cantanhede,Centro,0,192,,,,,,,,
2015-01,"Centro Hospitalar de Leiria-Pombal, E.P.E.",Centro,220,9134,,,,,,,,
2015-01,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.",Norte,582,8912,,,,,,,,
2015-01,"Unidade Local de Saúde do Alto Minho, E.P.E.",Norte,329,8334,,,,,,,,
2015-01,"Hospital Espírito Santo, E.P.E. - Evora",Alentejo,385,5666,,,,,,,,
2015-01,"Hospital Garcia da Orta, E.P.E.",LVT,724,12853,,,,,,,,
2015-01,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.",LVT,862,16587,,,,,,,,
2015-01,"Centro Hospitalar Universitário Lisboa Central, E.P.E.",LVT,1265,25591,,,,,,,,
2015-01,"Instituto Português de Oncologia, E.P.E. - Lisboa",LVT,645,5282,,,,,,,,
2015-02,Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais,Centro,32,336,,,,,,,,
2015-02,"Centro Hospitalar do Médio Ave, E.P.E.",Norte,100,4575,,,,,,,,
2015-02,"Hospital de Santa Maria Maior, E.P.E. - Barcelos",Norte,85,2663,,,,,,,,
2015-02,"Centro Hospitalar do Médio Tejo, E.P.E.",LVT,377,7134,,,,,,,,
2015-02,"Hospital Distrital de Santarém, E.P.E.",LVT,242,8723,,,,,,,,
2015-02,"Unidade Local de Saúde do Alto Minho, E.P.E.",Norte,419,8668,,,,,,,,
2015-02,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.",Alentejo,15,3845,,,,,,,,
2015-02,"Hospital Espírito Santo, E.P.E. - Evora",Alentejo,295,5494,,,,,,,,
2015-02,"Instituto Português de Oncologia, E.P.E. - Lisboa",LVT,666,5551,,,,,,,,
2015-03,"Centro Hospitalar do Médio Ave, E.P.E.",Norte,168,4380,,,,,,,,
2015-03,"Centro Hospitalar do Oeste, E.P.E.",LVT,513,6528,,,,,,,,
