Periodo;Ano;Mes;Trimestre;Semestre;Regiao;Instituicao;Populacao_Regiao;Num_Municipios;Consumo_Carbapenemes;Consumo_Outros_Antibioticos;Consumo_Total_Antibioticos;Percentual_Carbapenemes;Consumo_Carbapenemes_Per_Capita;Total_Urgencias;Urgencias_Geral;Urgencias_Pediatricas;Urgencias_Obstetricia;Urgencias_Psiquiatrica;Total_Urgencias_Per_Capita;Total_Consultas;Primeiras_Consultas;Consultas_Subsequentes;Total_Consultas_Per_Capita;Peso_Medio_Carbapenemes
2015-01;2015;1;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4002369.0;66.0;445.0;7434.0;7879.0;5.65;11.12;;;;;;;;;;;0.0565283025519447
2015-02;2015;2;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4002369.0;66.0;292.0;6316.0;6608.0;4.42;7.3;;;;;;;;;;;0.044260102408906
2015-03;2015;3;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4002369.0;66.0;352.0;6576.0;6928.0;5.08;8.79;;;;;;;;;;;0.0509296879966051
2015-04;2015;4;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4002369.0;66.0;343.0;6228.0;6571.0;5.22;8.57;;;;;;;;;;;0.052287944743976
2015-05;2015;5;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4002369.0;66.0;411.0;4943.0;5354.0;7.68;10.27;;;;;;;;;;;0.0768145696910142
2015-06;2015;6;2;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4002369.0;66.0;483.0;4925.0;5408.0;8.93;12.07;;;;;;;;;;;0.0893992658084469
2015-07;2015;7;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4002369.0;66.0;390.0;5429.0;5819.0;6.7;9.74;;;;;;;;;;;0.0671624543124729
2015-08;2015;8;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4002369.0;66.0;309.0;5409.0;5718.0;5.4;7.72;;;;;;;;;;;0.0541057780346763
2015-09;2015;9;3;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4002369.0;66.0;348.0;4970.0;5318.0;6.54;8.69;;;;;;;;;;;0.0655797631232635
2015-10;2015;10;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4002369.0;66.0;403.0;5187.0;5590.0;7.21;10.07;;;;;;;;;;;0.0721635912461493
2015-11;2015;11;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4002369.0;66.0;446.0;5047.0;5493.0;8.12;11.14;;;;;;;;;;;0.0812653115466395
2015-12;2015;12;4;2;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4002369.0;66.0;359.0;5537.0;5896.0;6.09;8.97;;;;;;;;;;;0.0609617042952922
2016-01;2016;1;1;1;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;4003306.0;66.0;433.0;6007.0;6440.0;6.72;10.82;;;;;;;;;;;0.0673272230939693
