01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Âmbito Geográfico,05. Filtro 1,06. Filtro 2,07. Filtro 3,08. Escala ,09. Símbolo,10. Valor,Região de Saúde
1981.0,,Abrantes,Município,Total,Total,, pessoas,,48727.0,Região de Saúde LVT
1981.0,,Águeda,Município,Total,Total,, pessoas,,43512.0,Região de Saúde do Centro
1981.0,,Aguiar da Beira,Município,Total,Total,, pessoas,,7314.0,Região de Saúde do Centro
1981.0,,Alandroal,Município,Total,Total,, pessoas,,8118.0,Região de Saúde do Alentejo
1981.0,,Albergaria-a-Velha,Município,Total,Total,, pessoas,,21416.0,Região de Saúde do Centro
1981.0,,Albufeira,Município,Total,Total,, pessoas,,17255.0,Região de Saúde do Algarve
1981.0,,Alcácer do Sal,Município,Total,Total,, pessoas,,16394.0,Região de Saúde LVT
1981.0,,Alcanena,Município,Total,Total,, pessoas,,14329.0,Região de Saúde LVT
1981.0,,Alcobaça,Município,Total,Total,, pessoas,,52485.0,Região de Saúde LVT
1981.0,,Alcochete,Município,Total,Total,, pessoas,,11275.0,Região de Saúde LVT
1981.0,,Alcoutim,Município,Total,Total,, pessoas,,5233.0,Região de Saúde do Algarve
1981.0,,Alenquer,Município,Total,Total,, pessoas,,34603.0,Região de Saúde LVT
1981.0,,Alfândega da Fé,Município,Total,Total,, pessoas,,7950.0,Região de Saúde Norte
1981.0,,Alijó,Município,Total,Total,, pessoas,,18935.0,Região de Saúde Norte
1981.0,,Aljezur,Município,Total,Total,, pessoas,,5062.0,Região de Saúde do Algarve
1981.0,,Aljustrel,Município,Total,Total,, pessoas,,12878.0,Região de Saúde do Alentejo
1981.0,,Almada,Município,Total,Total,, pessoas,,148533.0,Região de Saúde LVT
1981.0,,Almeida,Município,Total,Total,, pessoas,,10490.0,Região de Saúde do Centro
1981.0,,Almeirim,Município,Total,Total,, pessoas,,21271.0,Região de Saúde LVT
1981.0,,Almodôvar,Município,Total,Total,, pessoas,,10619.0,Região de Saúde do Alentejo
1981.0,,Alpiarça,Município,Total,Total,, pessoas,,8129.0,Região de Saúde LVT
1981.0,,Alter do Chão,Município,Total,Total,, pessoas,,4947.0,Região de Saúde do Alentejo
1981.0,,Alvaiázere,Município,Total,Total,, pessoas,,10511.0,Região de Saúde LVT
1981.0,,Alvito,Município,Total,Total,, pessoas,,2959.0,Região de Saúde do Alentejo
1981.0,,Amadora,Município,Total,Total,, pessoas,,165119.0,Região de Saúde LVT
1981.0,,Amarante,Município,Total,Total,, pessoas,,54628.0,Região de Saúde Norte
1981.0,,Amares,Município,Total,Total,, pessoas,,16618.0,Região de Saúde Norte
1981.0,,Anadia,Município,Total,Total,, pessoas,,29968.0,Região de Saúde do Centro
1981.0,,Angra do Heroísmo,Município,Total,Total,, pessoas,,32977.0,Região Autónoma dos Açores
1981.0,,Ansião,Município,Total,Total,, pessoas,,15482.0,Região de Saúde LVT
1981.0,,Arcos de Valdevez,Município,Total,Total,, pessoas,,31240.0,Região de Saúde Norte
1981.0,,Arganil,Município,Total,Total,, pessoas,,15489.0,Região de Saúde do Centro
1981.0,,Armamar,Município,Total,Total,, pessoas,,9443.0,Região de Saúde do Centro
1981.0,,Arouca,Município,Total,Total,, pessoas,,24120.0,Região de Saúde do Centro
1981.0,,Arraiolos,Município,Total,Total,, pessoas,,8883.0,Região de Saúde do Alentejo
1981.0,,Arronches,Município,Total,Total,, pessoas,,4307.0,Região de Saúde do Alentejo
1981.0,,Arruda dos Vinhos,Município,Total,Total,, pessoas,,8903.0,Região de Saúde LVT
1981.0,,Aveiro,Município,Total,Total,, pessoas,,60696.0,Região de Saúde do Centro
1981.0,,Avis,Município,Total,Total,, pessoas,,5865.0,Região de Saúde do Alentejo
1981.0,,Azambuja,Município,Total,Total,, pessoas,,19885.0,Região de Saúde LVT
1981.0,,Baião,Município,Total,Total,, pessoas,,24625.0,Região de Saúde Norte
1981.0,,Barcelos,Município,Total,Total,, pessoas,,104850.0,Região de Saúde Norte
1981.0,,Barrancos,Município,Total,Total,, pessoas,,2154.0,Região de Saúde do Alentejo
1981.0,,Barreiro,Município,Total,Total,, pessoas,,88644.0,Região de Saúde LVT
1981.0,,Batalha,Município,Total,Total,, pessoas,,12673.0,Região de Saúde LVT
1981.0,,Beja,Município,Total,Total,, pessoas,,38439.0,Região de Saúde do Alentejo
1981.0,,Belmonte,Município,Total,Total,, pessoas,,6775.0,Região de Saúde do Centro
1981.0,,Benavente,Município,Total,Total,, pessoas,,16349.0,Região de Saúde LVT
