Período;ARS;Hospital;Localização Geográfica;Grupo Hospitalar;DDD Consumidas de Cefalosporinas;DDD Consumidas dos Restantes Antibióticos;Peso
2015-01;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;219;550;0.2846312141232536
2015-01;Norte;Centro Hospitalar do Medio Ave, E.P.E.;41.3423984, -8.4802503;Grupo B;1112;3795;0.22669040354306846
2015-01;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897, -8.8586755;Grupo B;511;2812;0.1538753554468423
2015-01;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005, -9.0592392;Grupo C;988;6891;0.1254410096480107
2015-01;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;2631;6448;0.28980346629834747
2015-01;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754, -8.8818638;Grupo C;1326;7037;0.1586050870966571
2015-01;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Grupo C;1649;6135;0.21191214420889645
2015-01;Alentejo;Hospital Espirito Santo, E.P.E. - Evora;38.5684861, -7.9032848;Grupo D;1085;4966;0.17931963822891497
2015-01;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Grupo E;3998;31389;0.11299781058934667
2015-01;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;966;5027;0.16126883700975425
2015-01;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;3;236;0.012526096033402937
2015-02;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;562;2116;0.2101250485114755
2015-02;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Grupo B;874;4118;0.17514868332894884
2015-02;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005, -9.0592392;Grupo C;949;5658;0.1437381502447635
2015-02;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Grupo C;2570;10240;0.20064757998458407
2015-02;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;2001;6546;0.23410120234922008
2015-02;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946, -8.6937515;Grupo C;1698;7267;0.18940258505596255
2015-02;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;6667;30852;0.17770270988466258
2015-03;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;176;396;0.307962213225371
2015-03;LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Grupo A;0;2;0.0
2015-03;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005, -9.0592392;Grupo C;1030;5899;0.14866418016860314
2015-03;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;2439;6228;0.28145465182737883
