Período,ARS,Hospital,Localização Geográfica,DDD Consumidas de Cefalosporinas,DDD Consumidas dos Restantes Antibióticos
2015-01,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",219,550
2015-01,Norte,"Centro Hospitalar do Medio Ave, E.P.E.","41.3423984, -8.4802503",1112,3795
2015-01,Centro,"Hospital Distrital Figueira da Foz, E.P.E.","40.117897, -8.8586755",511,2812
2015-01,LVT,"Centro Hospitalar Barreiro Montijo, E.P.E.","38.6554005, -9.0592392",988,6891
2015-01,Norte,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",2631,6448
2015-01,LVT,"Centro Hospitalar de Setúbal, E.P.E.","38.5283754, -8.8818638",1326,7037
2015-01,Norte,"Unidade Local de Saúde de Matosinhos, E.P.E.","41.1794456, -8.6745115",1649,6135
2015-01,Alentejo,"Hospital Espirito Santo, E.P.E. - Evora","38.5684861, -7.9032848",1085,4966
2015-01,LVT,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E.","38.7500861, -9.1616116",3998,31389
2015-01,Norte,"Instituto Português de Oncologia, E.P.E. - Porto","41.1785642, -8.6062881",966,5027
2015-01,Norte,"Hospital de Magalhaes de Lemos, E.P.E.","41.1764649, -8.6649823",3,236
2015-02,Norte,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.","41.3828711, -8.7589945",562,2116
2015-02,Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.","39.8212263, -7.4981271",874,4118
2015-02,LVT,"Centro Hospitalar Barreiro Montijo, E.P.E.","38.6554005, -9.0592392",949,5658
2015-02,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",2570,10240
2015-02,Centro,"Centro Hospitalar do Baixo Vouga, E.P.E.","40.6362453, -8.6543716",2001,6546
2015-02,LVT,"Hospital distrital de Santarem, E.P.E.","39.2410946, -8.6937515",1698,7267
2015-02,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",6667,30852
2015-03,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",176,396
2015-03,LVT,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",0,2
2015-03,LVT,"Centro Hospitalar Barreiro Montijo, E.P.E.","38.6554005, -9.0592392",1030,5899
2015-03,Centro,"Centro Hospitalar Tondela-Viseu, E.P.E.","40.516364, -8.0827433",2439,6228
2015-03,Algarve,"Centro Hospitalar Universitário do Algarve, E.P.E.","37.0238973, -7.9281554",3479,13503
2015-03,LVT,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E.","38.7500861, -9.1616116",4169,29281
2015-03,Norte,"Centro Hospitalar Universitário de São João, E.P.E.","41.1831056, -8.6010558",4403,16209
2015-03,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",2109,14552
2015-03,LVT,"Instituto Português de Oncologia, E.P.E. - Lisboa","38.7396768, -9.1634516",1346,5009
2015-03,LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",58,377
2015-04,Centro,Hospital Arcebispo Joao Crisóstomo - Cantanhede,"40.3470015, -8.5933462",72,142
